title,participant,latitude,longitude,city,media_type,content_url,popup_text,marker_color
Aime - Reloj de San Agustín Metzquititlán,Aime,20.5892,-98.7251,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-10%20at%2011.40.13%20AM.jpeg,Reloj de San Agustín Metztititlán,orange
Alejandro - Templo de los Santos Reyes,Alejandro,20.5857,-98.7715,Metztitlán,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-09%20at%202.33.32%20PM.jpeg,Disfrutando de la lluva en Metztitlán,red
Alejandro - Ex convento de los Santos Reyes,Alejandro,20.5863,-98.77,Metztitlán,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-09%20at%202.33.55%20PM.jpeg,Hablando de Metztitlán,red
Alejandro - Alameda,Alejandro,20.2864,-98.6697,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-09%20at%2010.51.12%20AM.jpeg,Caminando por la alameda,red
Alejandro - Ex convento de San Agustín,Alejandro,20.2865,-98.6676,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-09%20at%2010.51.17%20AM.jpeg,Conociendo el ex convento de San Agustín,red
Alejandro - Carretera a Metztitlán,Alejandro,20.25339764,-98.63555808,Metztitlán,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-10%20at%2011.40.13%20AM%20(1).jpeg,Camino a Metztitlán,red
Alejandro - Parque Alameda,Alejandro,20.2875,-98.6708,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-10%20at%2011.40.14%20AM.jpeg,Elefante en Alameda,red
Alejandro - Jardín de ex convento San Agustín,,20.2865,-98.6676,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-10%20at%2011.40.15%20AM.jpeg,En el jardín del ex convento de San Agustín,red
Alejandro - Jardín de ex convento San Agustín,Alejandro,20.2865,-98.6676,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-10%20at%2011.40.16%20AM.jpeg,Otra más en el jardín del ex convento de San Agustín,red
Alejandro - Ex convento de los Santos Reyes,Alejandro,20.5871,-98.769,Metztitlán,video,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Video%202026-06-09%20at%202.34.14%20PM.mp4,Caminando por el ex convento de los Santos Reyes,red
Alejandro - Parroquia de San Agustín,Alejandro,20.2865,-98.6676,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Video%202026-06-09%20at%2010.07.41%20AM.mp4,Conociendo la parroquia de San Agustín,red
Alejandro - Ex convento de San Agustín,Alejandro,20.2857,-98.6685,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Video%202026-06-09%20at%2010.51.16%20AM.mp4,Conociendo el ex convento de San Agustín,red
Alejandro - Plaza principal,Alejandro,20.59517,-98.76329,Metztitlán,image,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Image%202026-06-09%20at%202.33.32%20PM.jpeg,Inicio del recorrido,red
Alejandro - Jugando bajo la lluvia,Alejandro,20.59517,-98.76329,Metztitlán,video,https://aminespinoza.com/antares/img/Alejandro/WhatsApp%20Video%202026-06-09%20at%202.33.45%20PM.mp4,Resumen del dia,red
Aurora - Vista panoramica,Aurora,20.2868,-98.6685,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.29.26%20PM.mp4,Vista panorámica en la alameda,green
Aurora - Vista panoramica,Aurora,20.2875,-98.6708,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.30.07%20PM.mp4,Conociendo la Alameda en Atotonilco,green
Aurora - Vista panoramica,Aurora,20.2857,-98.6728,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.30.45%20PM.mp4,Iniciando grabaciones en Atotonilco,green
Aurora - Vista panoramica,Aurora,20.2879,-98.6692,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.31.33%20PM.mp4,Fuente de la Alameda,green
Aurora - Vista panoramica,Aurora,20.28635222,-98.66965534,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.25.52%20PM.mp4,Entrada a la parroquia de San Agustín de Hipona,green
Aurora - Vista panoramica,Aurora,20.28617569,-98.67013567,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.26.04%20PM.mp4,Vista panorámica en la alameda,green
Aurora - Vista panoramica,Aurora,20.28681225,-98.66993734,Atotonilco El Grande,video,https://aminespinoza.com/antares/img/Aurora/WhatsApp%20Video%202026-06-23%20at%2012.26.31%20PM.mp4,Vista panorámica en la alameda,green
Miranda - Corredor turístico,Miranda,20.2853,-98.6765,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_082955.jpg,Entrando al corredor turístico de la montaña,blue
Miranda - Barbacoa,Miranda,20.2872,-98.6781,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_092358.jpg,Probando la barbacoa de Atotonilco,blue
Miranda - Quesadilla,Miranda,20.2872,-98.6781,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_092945.jpg,Probando las quesadillas gigantes,blue
Miranda - Panadería,Miranda,20.2872,-98.6781,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_094746.jpg,Panadería la Flor de trigo,blue
Miranda - Parroquia,Miranda,20.2853,-98.6765,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_100550.jpg,Conociendo la parroquia de San Agustín,blue
Miranda - Mural,Miranda,20.2865,-98.6676,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_101038.jpg,Mural en ex convento de San Agustín,blue
Miranda - Alameda,Miranda,20.2864,-98.6697,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_102617.jpg,Jirafa en la Alameda,blue
Miranda - Nieves Metzti,Miranda,20.5739,-98.7468,Metztitlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_112358.jpg,Probando las nieves de Metztitlán,blue
Miranda - Ex convento de los Santos Reyes,Miranda,20.5852,-98.7704,Metztitlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_123747.jpg,Capillita en ex convento de los Santos Reyes,blue
Miranda - Ex convento de los Santos Reyes,Miranda,20.5857,-98.7715,Metztitlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_125524.jpg,Disfrutando de la lluva en Metztitlán,blue
Miranda - Ex convento de los Santos Reyes,Miranda,20.5863,-98.77,Metztitlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_125529.jpg,Fotos bajo la lluvia,blue
Miranda - Calle en San Agustín,Miranda,20.5887,-98.726,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_141153.jpg,Calles en San Agustín Metzquititlán,blue
Miranda - Presidencia San Agustín,Miranda,20.5896,-98.7249,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_141217.jpg,Presidencia de San Agustín Metzquititlán,blue
Miranda - Mirador,Miranda,20.5938,-98.7285,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_143441.jpg,Mirador de San Agustín Metzquititlán,blue
Miranda - Mirador San Agustín,Miranda,20.5925,-98.7272,San Agustín Metzquititlán,image,https://aminespinoza.com/antares/img/Miranda/20260609_143445.jpg,Vista paisaje mirador San Agustín,blue
Miranda - Entrada a Parroquia San Agustín,Miranda,20.28646,-98.66962,Atotonilco El Grande,image,https://aminespinoza.com/antares/img/Miranda/20260609_123711.jpg,Llegada a campo,blue
